Словоформа,Частота_ipm,Капитализация
дно,20.3,lower
дну,5.7,lower
дню,10.7,lower
дня,243.0,lower
Дня,6.1,upper
дням,5.1,lower
днями,11.3,lower
днях,21.9,lower
до,1921.4,lower
До,143.6,upper
добавил,44.7,lower
добавила,13.1,lower
добавить,25.9,lower
добавляет,6.8,lower
добиваться,8.7,lower
добились,6.8,lower
добился,11.4,lower
добиться,34.3,lower
добра,21.8,lower
добрались,8.3,lower
добрался,10.1,lower
добраться,15.7,lower
добрая,11.3,lower
добро,23.0,lower
Добро,6.3,upper
добровольно,14.1,lower
доброго,16.0,lower
добродушно,5.7,lower
доброе,12.2,lower
доброй,12.7,lower
добром,8.0,lower
добросовестно,6.3,lower
добрую,5.7,lower
добрые,20.0,lower
добрый,26.6,lower
Добрый,10.6,upper
добрым,12.6,lower
добрых,12.1,lower
добыть,5.4,lower
добыча,5.7,lower
добыче,5.0,lower
добычей,5.0,lower
добычи,16.9,lower
добычу,11.4,lower
довелось,15.7,lower
доверие,17.0,lower
доверия,15.9,lower
доверять,8.4,lower
довести,14.0,lower
Довлатов,5.0,upper
доводилось,5.1,lower
доводы,7.3,lower
доволен,17.9,lower
довольна,6.4,lower
довольно,169.6,lower
Довольно,10.8,upper
довольны,10.2,lower
довольный,7.5,lower
догадалась,8.3,lower
догадались,5.6,lower
догадался,23.2,lower
догадаться,11.4,lower
догадывался,7.8,lower
догадываться,5.4,lower
догнал,5.5,lower
догнать,6.1,lower
договор,37.1,lower
Договор,8.9,upper
договора,46.8,lower
Договора,7.6,upper
договоре,8.4,lower
договоренности,7.6,lower
договорились,19.7,lower
Договорились,5.3,upper
договорился,5.5,lower
договориться,13.7,lower
договоров,12.6,lower
договором,14.8,lower
договору,13.8,lower
договоры,7.8,lower
дождавшись,7.5,lower
дождался,7.6,lower
дождаться,7.2,lower
дождем,9.9,lower
дожди,5.9,lower
дождь,34.5,lower
Дождь,5.7,upper
дождя,17.2,lower
дожидаясь,13.0,lower
дойдет,6.8,lower
дойти,9.6,lower
доказал,6.9,lower
доказано,5.5,lower
доказательств,19.2,lower
доказательства,18.9,lower
доказательство,12.4,lower
доказать,27.0,lower
доказывает,6.1,lower
доказывал,5.4,lower
доказывать,9.9,lower
доклад,19.1,lower
доклада,11.6,lower
докладе,8.6,lower
доклады,5.1,lower
доктор,51.1,lower
Доктор,36.2,upper
доктора,24.5,lower
Доктора,5.6,upper
доктором,6.3,lower
доктору,6.1,lower
документ,32.2,lower
документа,19.1,lower
документам,5.9,lower
документами,11.8,lower
документах,9.9,lower
документации,9.2,lower
документе,7.4,lower
документов,55.9,lower
документом,5.8,lower
документы,67.2,lower
Документы,5.4,upper
долг,30.9,lower
долга,17.8,lower
долгая,5.7,lower
долги,14.2,lower
долгие,20.5,lower
долгий,9.9,lower
долгим,5.1,lower
долгих,11.7,lower
долго,232.7,lower
Долго,20.0,upper
долгов,8.6,lower
долгого,9.4,lower
долгое,18.6,lower
долгой,9.1,lower
долгом,7.6,lower
долгу,8.0,lower
долгую,6.8,lower
долей,10.0,lower
должен,335.9,lower
Должен,10.1,upper
должна,192.0,lower
должника,11.7,lower
должно,174.7,lower
Должно,9.9,upper
должного,5.4,lower
должное,13.2,lower
должностей,5.4,lower
должности,39.2,lower
должностных,15.0,lower
должность,32.8,lower
должны,289.1,lower
доли,21.4,lower
долл,23.9,lower
доллар,6.1,lower
доллара,9.2,lower
долларов,126.1,lower
доллары,6.9,lower
доложил,11.7,lower
доложить,6.6,lower
дольше,19.4,lower
долю,33.5,lower
доля,35.4,lower
Доля,5.4,upper
дом,208.1,lower
Дом,34.3,upper
дома,345.4,lower
Дома,35.8,upper
домам,11.1,lower
домами,8.1,lower
домах,17.5,lower
домашнего,8.7,lower
домашней,8.3,lower
домашние,9.5,lower
домашний,9.0,lower
домашним,5.5,lower
домашних,16.6,lower
доме,135.0,lower
Доме,14.0,upper
домик,13.7,lower
домика,6.3,lower
домике,5.4,lower
домов,45.9,lower
домой,162.1,lower
Домой,7.8,upper
домом,20.6,lower
дому,53.8,lower
Дон,19.3,upper
дон,5.9,lower
Дона,5.4,upper
донесся,6.0,lower
донести,5.4,lower
дополнение,6.6,lower
дополнений,5.3,lower
дополнительно,11.6,lower
дополнительного,8.4,lower
дополнительное,5.0,lower
дополнительной,7.6,lower
дополнительную,6.6,lower
дополнительные,20.9,lower
дополнительный,8.4,lower
дополнительных,19.2,lower
допрос,8.1,lower
допроса,5.8,lower
допускает,6.4,lower
допускается,11.8,lower
допускать,6.9,lower
допустил,5.2,lower
допустим,19.6,lower
Допустим,10.3,upper
допустить,17.8,lower
дорог,25.2,lower
дорога,38.2,lower
Дорога,11.0,upper
дорогам,7.2,lower
дорогах,8.6,lower
дорогая,16.3,lower
Дорогая,7.0,upper
дороге,84.5,lower
дороги,71.8,lower
дорогие,21.2,lower
Дорогие,6.1,upper
дорогим,5.3,lower
дорогих,12.0,lower
дорого,22.1,lower
дорогого,8.0,lower
дорогое,8.0,lower
дорогой,52.9,lower
Дорогой,13.5,upper
дорогу,73.2,lower
дороже,25.4,lower
дорожке,8.8,lower
дорожки,8.4,lower
дорожку,6.2,lower
дорожного,6.8,lower
досадой,7.0,lower
доселе,5.5,lower
доска,6.0,lower
доске,12.7,lower
доски,17.7,lower
доску,10.5,lower
досок,6.9,lower
доставили,6.1,lower
доставить,9.4,lower
доставки,8.3,lower
доставляет,5.0,lower
достает,7.5,lower
достал,38.8,lower
достала,12.0,lower
досталась,7.1,lower
досталось,11.1,lower
достался,6.1,lower
достанется,5.0,lower
достаточно,186.7,lower
Достаточно,19.0,upper
достаточной,6.6,lower
достать,19.8,lower
достиг,14.5,lower
достигает,13.4,lower
достигается,8.4,lower
достигла,8.4,lower
достигли,9.3,lower
достижение,11.3,lower
достижении,5.1,lower
достижений,9.3,lower
достижения,32.3,lower
достичь,17.0,lower
достоверно,6.5,lower
достоверности,6.4,lower
Достоевский,13.8,upper
Достоевского,20.7,upper
достоин,5.4,lower
достоинств,5.1,lower
достоинства,21.9,lower
достоинство,14.7,lower
достоинством,11.5,lower
достойно,12.8,lower
достойное,5.5,lower
достойный,5.8,lower
достойным,5.2,lower
достоянием,5.8,lower
доступ,17.2,lower
доступа,13.0,lower
доход,17.2,lower
дохода,16.4,lower
доходит,10.4,lower
доходов,33.2,lower
доходы,21.8,lower
доцент,5.7,lower
дочерей,6.2,lower
дочери,39.7,lower
дочерью,11.7,lower
дочка,17.6,lower
дочке,5.2,lower
дочки,7.2,lower
дочкой,6.8,lower
дочку,9.1,lower
дочь,72.5,lower
Дочь,7.7,upper
дошел,11.9,lower
дошкольного,6.0,lower
дошла,8.3,lower
дошли,11.9,lower
дошло,16.4,lower
др,64.4,lower
драки,6.7,lower
драма,5.5,lower
драмы,8.3,lower
драться,7.9,lower
древесины,11.0,lower
древнего,8.3,lower
древней,9.9,lower
древние,12.2,lower
древний,7.0,lower
древних,17.4,lower
древности,8.8,lower
дров,9.0,lower
дрова,12.2,lower
дрожал,5.0,lower
дрожали,6.9,lower
дрожит,5.0,lower
дрожь,7.7,lower
друг,331.8,lower
Друг,7.2,upper
друга,184.1,lower
другая,70.6,lower
Другая,12.3,upper
друге,6.5,lower
другие,262.7,lower
Другие,22.6,upper
другим,116.4,lower
Другим,5.5,upper
другими,81.6,lower
Другими,6.9,upper
других,363.9,lower
другого,120.7,lower
другое,130.7,lower
Другое,17.9,upper
другой,390.4,lower
Другой,28.3,upper
другом,126.1,lower
другому,44.2,lower
другу,85.7,lower
другую,81.8,lower
дружба,14.3,lower
Дружба,5.1,upper
дружбе,8.8,lower
дружбу,9.7,lower
дружбы,15.7,lower
дружеские,5.4,lower
дружил,5.3,lower
дружили,5.2,lower
дружить,6.0,lower
дружно,18.7,lower
дружок,5.4,lower
друзей,64.1,lower
друзья,63.3,lower
Друзья,10.1,upper
друзьям,15.6,lower
друзьями,25.5,lower
дрянь,7.6,lower
ДТП,5.6,upper
дуба,6.7,lower
Дума,8.5,upper
думаем,8.5,lower
думает,45.0,lower
думаете,31.5,lower
думается,7.8,lower
думаешь,39.4,lower
Думаешь,8.1,upper
думай,9.6,lower
думайте,5.7,lower
думал,144.3,lower
Думал,7.4,upper
думала,54.9,lower
думали,27.3,lower
думать,100.8,lower
думаю,163.9,lower
Думаю,45.0,upper
думают,22.0,lower
думая,19.0,lower
Думе,14.4,upper
Думу,10.9,upper
Думы,19.0,upper
думы,12.6,lower
дура,17.5,lower
дурак,27.7,lower
Дурак,6.0,upper
дурака,10.1,lower
дураки,6.9,lower
дураков,6.5,lower
дурной,6.9,lower
дух,44.2,lower
Дух,8.0,upper
духа,28.6,lower
Духа,9.8,upper
духе,27.6,lower
духи,7.1,lower
духов,9.0,lower
духовная,6.1,lower
духовно,6.1,lower
духовного,14.8,lower
духовное,8.0,lower
духовной,20.3,lower
духовную,6.2,lower
духовные,6.6,lower
духовный,7.0,lower
духовным,5.6,lower
духовных,9.9,lower
духом,19.3,lower
духу,12.6,lower
душ,22.0,lower
душа,57.1,lower
Душа,7.8,upper
душе,72.8,lower
душевного,5.3,lower
душевной,7.6,lower
души,99.5,lower
душно,6.0,lower
душой,25.6,lower
душу,70.7,lower
дым,24.8,lower
дыма,15.3,lower
дымом,8.7,lower
дыра,5.6,lower
Дырка,8.6,upper
дыру,6.8,lower
дыры,8.3,lower
дыхание,33.8,lower
дыхания,10.2,lower
дыша,8.0,lower
дышал,7.8,lower
дышать,17.7,lower
дышит,9.5,lower
дьявол,6.7,lower
дьявола,5.3,lower
Дэвид,5.1,upper
дяде,6.1,lower
дядей,5.4,lower
дяди,14.8,lower
дядька,5.4,lower
дядю,7.8,lower
дядя,50.8,lower
Дядя,18.0,upper
е,168.2,lower
Е,92.2,upper
Ева,5.6,upper
Евангелие,9.5,upper
Евангелия,6.9,upper
Евгений,48.3,upper
Евгения,36.7,upper
Евгеньевич,6.4,upper
евреев,24.8,lower
евреи,16.7,lower
еврей,15.5,lower
еврейский,5.2,lower
еврейских,5.5,lower
еврейского,8.7,lower
еврейской,8.6,lower
еврея,5.8,lower
евро,16.2,lower
Европа,13.8,upper
Европе,47.7,upper
европейские,7.7,lower
европейский,5.4,lower
европейских,20.3,lower
европейского,9.1,lower
Европейского,7.0,upper
европейской,17.2,lower
Европу,15.9,upper
Европы,56.8,upper
Евтушенко,7.2,upper
Египта,5.0,upper
его,4165.2,lower
Его,275.9,upper
Егор,23.3,upper
Егора,5.5,upper
Егоров,5.5,upper
еда,8.9,lower
едва,120.2,lower
Едва,19.1,upper
едем,13.2,lower
едет,20.1,lower
едешь,5.1,lower
Единая,8.5,upper
единая,5.2,lower
единиц,11.9,lower
единицу,5.0,lower
единицы,11.8,lower
единого,29.3,lower
единое,8.9,lower
единой,27.6,lower
Единой,13.0,upper
едином,6.2,lower
единства,12.0,lower
единственная,20.8,lower
Единственная,5.1,upper
единственно,14.8,lower
единственного,9.5,lower
единственное,23.6,lower
Единственное,16.1,upper
единственной,19.0,lower
единственную,6.2,lower
единственный,47.1,lower
Единственный,8.8,upper
единственным,25.6,lower
единство,13.6,lower
Единство,5.0,upper
единую,9.8,lower
единый,14.6,lower
единым,10.2,lower
едой,7.5,lower
еду,26.7,lower
едут,11.7,lower
еды,17.8,lower
едят,10.7,lower
ее,1961.2,lower
Ее,99.1,upper
её,176.5,lower
Её,8.7,upper
ежегодно,21.6,lower
ежедневно,25.0,lower
ежели,11.7,lower
ежемесячно,5.2,lower
ездил,21.6,lower
ездила,8.3,lower
ездили,15.0,lower
ездит,8.1,lower
ездить,22.0,lower
езды,6.8,lower
ездят,6.7,lower
ей,535.1,lower
Ей,51.8,upper
ей-богу,5.3,lower
Екатерина,21.1,upper
Екатерины,7.2,upper
ел,17.7,lower
ела,6.3,lower
еле,31.8,lower
Елена,43.8,upper
Елены,10.0,upper
ели,19.7,lower
Елизавета,9.7,upper
елки,5.1,lower
Ельцин,23.4,upper
Ельцина,24.5,upper
Ельцину,5.5,upper
ем,5.9,lower
ему,1184.6,lower
Ему,115.6,upper
епархии,6.7,lower
епископ,5.6,lower
епископа,5.4,lower
Ерофеев,6.8,upper
ерунда,9.6,lower
ЕС,21.9,upper
Есенина,6.2,upper
если,1338.8,lower
Если,660.7,upper
ЕСН,5.8,upper
ест,13.4,lower
естественно,79.8,lower
Естественно,31.9,upper
естественного,9.3,lower
естественное,7.1,lower
естественной,9.3,lower
естественные,5.5,lower
естественный,8.7,lower
естественным,13.7,lower
естественных,13.7,lower
есть,1264.1,lower
Есть,155.6,upper
Ефим,20.4,upper
Ефремов,6.8,upper
ехал,20.3,lower
ехала,6.6,lower
ехали,19.5,lower
ехать,57.1,lower
ешь,7.1,lower
еще,1992.4,lower
Еще,211.1,upper
ещё,189.3,lower
Ещё,19.6,upper
ЕЭС,13.8,upper
ею,52.8,lower
ж,183.0,lower
Ж,15.5,upper
жадно,15.0,lower
жажда,6.2,lower
жалел,8.5,lower
жалеть,8.5,lower
жалею,7.3,lower
жалко,44.6,lower
Жалко,9.6,upper
жалоб,6.6,lower
жалобно,10.5,lower
жалобу,5.7,lower
жалобы,14.0,lower
жаловался,9.3,lower
жаловаться,10.4,lower
жалости,9.9,lower
жалость,9.1,lower
жалуется,6.8,lower
жаль,33.2,lower
Жаль,19.4,upper
Жан,6.5,upper
Жанна,8.2,upper
жанр,9.4,lower
жанра,9.8,lower
жанре,5.6,lower
жар,7.9,lower
жара,11.3,lower
жарко,18.1,lower
жаром,5.6,lower
жару,8.3,lower
жары,7.6,lower
ждал,54.9,lower
ждала,28.1,lower
ждали,38.8,lower
ждать,73.0,lower
ждем,8.8,lower
ждет,48.2,lower
жди,7.1,lower
жду,19.9,lower
Жду,5.0,upper
ждут,32.6,lower
же,3227.6,lower
желает,14.4,lower
желал,10.8,lower
желание,59.2,lower
желанием,11.9,lower
желании,15.1,lower
желаний,6.5,lower
желанию,11.3,lower
желания,31.8,lower
желательно,11.7,lower
желать,6.7,lower
желаю,12.7,lower
Желаю,6.9,upper
желают,5.4,lower
желающие,6.1,lower
желающих,14.1,lower
желая,21.8,lower
железа,14.3,lower
железная,9.0,lower
железнодорожного,7.2,lower
железнодорожной,5.2,lower
железнодорожных,5.3,lower
железной,24.6,lower
железную,7.5,lower
железные,10.3,lower
железный,10.6,lower
железным,5.4,lower
железных,10.0,lower
железо,8.5,lower
железом,5.4,lower
железы,7.3,lower
желтого,5.2,lower
желтой,7.7,lower
желтые,11.3,lower
желтый,11.1,lower
желтым,5.9,lower
желтыми,5.5,lower
желтых,5.0,lower
желудка,7.6,lower
желудок,7.5,lower
жен,9.6,lower
жена,125.9,lower
Жена,28.1,upper
женат,9.2,lower
жене,35.4,lower
Жене,6.1,upper
женился,19.5,lower
жениться,14.2,lower
жених,7.6,lower
жениха,6.8,lower
женой,56.9,lower
женская,6.9,lower
женские,10.1,lower
женский,15.9,lower
женских,9.3,lower
женского,14.2,lower
женское,7.0,lower
женской,14.1,lower
женскую,5.5,lower
жену,44.4,lower
женщин,83.7,lower
женщина,154.7,lower
Женщина,28.2,upper
женщинам,14.0,lower
женщинами,11.0,lower
женщине,29.6,lower
женщиной,27.0,lower
женщину,41.2,lower
женщины,118.8,lower
Женщины,14.5,upper
жены,58.1,lower
Женька,12.2,upper
Женю,5.5,upper
Женя,47.6,upper
жертв,15.6,lower
жертва,7.7,lower
жертвами,5.6,lower
жертвой,10.4,lower
жертву,12.8,lower
жертвы,16.4,lower
жест,14.8,lower
жесткие,9.5,lower
жесткий,8.1,lower
жестким,5.6,lower
жестких,5.4,lower
жестко,16.6,lower
жесткой,9.7,lower
жестоко,10.7,lower
жестокости,6.2,lower
жестокость,5.4,lower
жестом,12.7,lower
жив,28.9,lower
жива,10.8,lower
живая,14.9,lower
живем,25.8,lower
живет,84.6,lower
живёт,7.8,lower
живете,7.2,lower
живешь,12.0,lower
живи,5.2,lower
живо,13.3,lower
живого,24.6,lower
живое,18.4,lower
живой,49.7,lower
Живой,6.3,upper
живописи,14.2,lower
живопись,8.3,lower
живот,28.0,lower
живота,10.4,lower
животе,12.1,lower
животного,15.7,lower
животное,13.6,lower
животные,11.3,lower
животным,8.4,lower
животными,5.2,lower
животных,51.6,lower
животом,6.1,lower
живу,26.6,lower
живут,61.5,lower
живущих,8.1,lower
живую,8.4,lower
живы,11.7,lower
живые,19.5,lower
живым,20.1,lower
живыми,9.0,lower
живых,35.3,lower
жидкости,14.2,lower
жидкость,10.0,lower
жизнедеятельности,7.9,lower
жизней,6.5,lower
жизненно,7.5,lower
жизненного,8.6,lower
жизненной,6.9,lower
жизненные,5.8,lower
жизненный,8.1,lower
жизненных,8.7,lower
жизни,745.2,lower
жизнь,526.4,lower
Жизнь,41.7,upper
жизнью,62.9,lower
жил,83.1,lower
Жил,6.6,upper
жила,43.2,lower
жили,71.3,lower
Жили,5.7,upper
жилища,6.1,lower
жилище,7.2,lower
жилищного,6.3,lower
жилого,7.5,lower
жилой,7.2,lower
жилых,10.5,lower
жилье,21.6,lower
жильцов,6.8,lower
Жильцова,9.9,upper
жильцы,5.4,lower
жилья,31.2,lower
жира,6.8,lower
жителей,38.2,lower
жители,26.1,lower
житель,7.1,lower
жительства,15.2,lower
жителям,7.1,lower
жить,201.6,lower
Жить,9.6,upper
Жихарь,10.5,upper
ЖКХ,21.6,upper
Жора,8.3,upper
жрать,5.6,lower
Жуков,7.7,upper
Жукова,5.0,upper
журнал,38.9,lower
Журнал,6.8,upper
журнала,44.3,lower
журналах,7.3,lower
журнале,24.3,lower
журналист,16.5,lower
журналиста,10.4,lower
журналистам,8.9,lower
журналистами,6.2,lower
журналистов,24.2,lower
журналисты,17.2,lower
журналов,14.2,lower
журналы,12.5,lower
жутко,11.3,lower
жюри,12.1,lower
З,12.7,upper
з,9.0,lower
за,3551.6,lower
За,353.5,upper
ЗА,6.8,upper
забавно,5.8,lower
Забелин,7.4,upper
заблуждение,8.3,lower
заболевание,5.7,lower
заболеваний,13.6,lower
заболевания,17.3,lower
заболел,12.4,lower
заболела,7.5,lower
забор,12.9,lower
забора,10.8,lower
забором,8.4,lower
забот,11.3,lower
забота,11.0,lower
заботиться,8.0,lower
заботливо,6.2,lower
заботой,5.1,lower
заботу,7.5,lower
заботы,15.4,lower
забрал,8.7,lower
забрали,9.4,lower
забрался,5.4,lower
забрать,10.6,lower
забуду,7.8,lower
забудь,7.0,lower
забудьте,6.0,lower
забыв,12.9,lower
забывает,5.3,lower
забывал,6.9,lower
забывать,18.1,lower
забывают,5.5,lower
забывая,5.5,lower
забыл,58.1,lower
забыла,23.6,lower
забыли,26.4,lower
забыть,36.2,lower
заведение,7.4,lower
заведений,9.1,lower
заведения,12.4,lower
заведомо,12.2,lower
заведующий,7.8,lower
завел,9.8,lower
заверил,8.0,lower
завершение,6.6,lower
завершения,11.2,lower
завершить,7.5,lower
завести,8.3,lower
зависело,5.9,lower
зависеть,9.7,lower
зависимости,66.5,lower
зависимость,17.8,lower
зависит,72.8,lower
зависти,8.4,lower
зависть,8.0,lower
завистью,5.0,lower
зависят,9.9,lower
завод,44.6,lower
завода,44.1,lower
заводах,5.8,lower
заводе,25.7,lower
заводов,14.3,lower
заводы,12.2,lower
завтра,104.7,lower
Завтра,32.4,upper
завтрак,11.9,lower
завтрака,6.1,lower
загадка,6.6,lower
загадкой,5.2,lower
загадочно,5.7,lower
заглядывал,5.2,lower
заглядывая,6.0,lower
заглянул,17.9,lower
заглянула,6.8,lower
заглянуть,12.6,lower
заговорил,26.0,lower
заговорила,8.8,lower
заговорили,10.1,lower
заговорить,5.1,lower
заготовки,6.3,lower
загрязнения,7.5,lower
зад,7.1,lower
задавал,5.8,lower
задавать,9.8,lower
задает,5.8,lower
задал,10.4,lower
задание,18.0,lower
заданий,5.7,lower
задания,14.1,lower
задать,10.8,lower
задач,59.3,lower
задача,58.5,lower
Задача,12.2,upper
задачами,6.1,lower
задаче,5.2,lower
задачей,20.7,lower
задачи,73.8,lower
задачу,34.6,lower
задают,5.2,lower
задержали,6.0,lower
задержался,5.8,lower
задержать,5.7,lower
задержки,5.3,lower
заднего,12.6,lower
заднее,5.8,lower
задней,11.8,lower
заднем,9.8,lower
задние,6.4,lower
задний,10.4,lower
задним,9.1,lower
задних,7.0,lower
задницу,5.1,lower
заднюю,5.4,lower
задолго,12.6,lower
задолженности,11.0,lower
задолженность,7.6,lower
задом,7.3,lower
задумал,6.5,lower
задумалась,6.6,lower
задумался,21.4,lower
задуматься,10.4,lower
задумчиво,27.0,lower
задумывался,5.5,lower
задумываясь,7.7,lower
задыхаясь,7.5,lower
зазвонил,5.9,lower
заинтересовался,5.5,lower
заинтересован,6.0,lower
заинтересованность,5.6,lower
заинтересованных,6.4,lower
заинтересованы,8.2,lower
займет,6.4,lower
зайти,15.6,lower
заказ,17.6,lower
заказа,7.0,lower
заказал,7.5,lower
заказать,7.7,lower
заказов,8.2,lower
заказу,8.1,lower
заказчик,5.6,lower
заказчика,10.4,lower
заказчиков,6.0,lower
заказы,7.9,lower
заканчивается,12.7,lower
закат,5.3,lower
заклинание,5.4,lower
заключается,38.3,lower
заключалась,10.0,lower
заключен,5.4,lower
заключение,27.8,lower
заключении,9.8,lower
заключению,5.8,lower
заключения,25.7,lower
заключенных,12.2,lower
заключил,9.4,lower
заключить,9.5,lower
закон,85.5,lower
Закон,22.9,upper
закона,78.0,lower
Закона,17.8,upper
законам,22.3,lower
законами,15.5,lower
законе,15.3,lower
законности,7.5,lower
законную,8.2,lower
законных,8.3,lower
законов,35.3,lower
законодательной,7.6,lower
законодательных,5.9,lower
законодательства,30.5,lower
законодательстве,6.6,lower
законодательство,14.0,lower
законодательством,25.4,lower
законодательству,8.2,lower
законом,49.0,lower
Законом,6.0,upper
закономерности,7.1,lower
закономерность,5.9,lower
законопроект,10.5,lower
законопроекта,7.7,lower
законопроектов,5.4,lower
закону,30.8,lower
закончил,24.8,lower
закончила,7.5,lower
закончилась,13.4,lower
закончили,5.8,lower
закончились,6.2,lower
закончилось,10.7,lower
закончился,10.8,lower
закончится,8.2,lower
закончить,13.6,lower
законы,41.2,lower
закрепить,5.6,lower
закричал,36.5,lower
закричала,16.2,lower
закричали,5.8,lower
закрыв,6.6,lower
закрывает,5.3,lower
закрывать,5.9,lower
закрыл,20.2,lower
закрыла,10.5,lower
закрыли,8.6,lower
закрыт,8.1,lower
закрыта,5.5,lower
закрытия,5.6,lower
закрытой,6.0,lower
закрыты,8.1,lower
закрытыми,8.6,lower
закрытых,6.3,lower
закрыть,15.8,lower
закурил,13.1,lower
зал,66.3,lower
Зал,8.3,upper
зала,34.6,lower
зале,69.0,lower
залез,5.9,lower
залива,6.5,lower
залить,5.2,lower
залог,9.7,lower
заложников,10.1,lower
залу,9.2,lower
залы,7.4,lower
зам,7.4,lower
замена,7.8,lower
замене,5.0,lower
заменить,20.1,lower
замену,6.8,lower
замены,10.2,lower
замер,14.1,lower
замерла,7.4,lower
замерли,6.0,lower
заместителем,14.7,lower
заместитель,41.3,lower
Заместитель,6.7,upper
заместителя,20.1,lower
заметив,11.8,lower
заметил,109.9,lower
заметила,30.5,lower
заметили,21.3,lower
Заметим,7.2,upper
заметит,5.1,lower
заметить,32.1,lower
заметки,7.9,lower
заметку,5.1,lower
заметно,42.6,lower
замечает,15.3,lower
замечал,15.0,lower
замечала,6.2,lower
замечали,5.9,lower
замечание,9.7,lower
замечаний,5.4,lower
замечания,15.3,lower
замечательная,9.2,lower
замечательно,19.0,lower
замечательного,6.0,lower
замечательное,5.4,lower
замечательные,10.4,lower
замечательный,17.4,lower
замечательным,5.3,lower
замечательных,7.3,lower
замечать,10.1,lower
замечаю,5.0,lower
замечая,9.1,lower
замка,9.7,lower
замке,6.9,lower
замки,6.3,lower
замминистра,7.4,lower
замок,23.6,lower
замолчал,14.3,lower
замолчала,5.6,lower
замуж,38.5,lower
замужем,9.2,lower
замысел,10.0,lower
замысла,7.0,lower
замыслу,7.2,lower
занавес,9.3,lower
занавески,5.6,lower
занимаемся,5.1,lower
занимает,30.8,lower
занимается,33.0,lower
занимал,14.0,lower
занимала,7.6,lower
занималась,11.8,lower
занимали,9.5,lower
занимались,19.5,lower
занимался,35.2,lower
занимать,10.9,lower
заниматься,67.1,lower
занимаюсь,8.9,lower
занимают,14.2,lower
занимаются,20.8,lower
заново,24.5,lower
занял,17.4,lower
заняла,8.7,lower
заняли,10.5,lower
занялся,8.3,lower
занят,18.8,lower
занята,7.8,lower
занятие,17.8,lower
занятий,22.6,lower
занятия,27.6,lower
занятиях,6.5,lower
занято,5.6,lower
занятости,12.1,lower
заняты,16.4,lower
занятых,8.4,lower
занять,18.7,lower
заняться,21.5,lower
ЗАО,25.5,upper
заодно,24.5,lower
заорал,15.9,lower
Запад,18.0,upper
запад,7.4,lower
Запада,18.3,upper
Западе,28.3,upper
западного,8.3,lower
Западного,5.9,upper
Западной,17.7,upper
западной,13.8,lower
западные,11.8,lower
западных,22.2,lower
Западом,5.6,upper
запас,18.1,lower
запаса,7.5,lower
запасов,14.1,lower
запасы,12.3,lower
запах,49.5,lower
запаха,9.3,lower
запахи,8.1,lower
запахом,10.7,lower
запел,6.8,lower
записал,11.4,lower
записано,7.0,lower
записать,10.6,lower
записей,7.2,lower
записи,29.4,lower
записка,6.5,lower
записки,12.1,lower
записку,17.2,lower
записывал,5.9,lower
записывать,7.4,lower
запись,22.0,lower
заплакал,9.9,lower
заплакала,10.7,lower
заплатил,5.7,lower
заплатить,13.8,lower
заповеди,5.0,lower
заполнить,6.4,lower
запомнил,16.4,lower
запомнила,5.4,lower
запомнить,9.4,lower
запрет,10.1,lower
запретил,6.3,lower
запретили,5.0,lower
запретить,6.5,lower
запрещено,12.0,lower
запрос,8.7,lower
запросов,5.6,lower
запросто,14.7,lower
запросы,6.4,lower
запустил,5.0,lower
запустить,5.2,lower
зарабатывать,10.3,lower
заработал,7.9,lower
заработать,14.1,lower
заработной,16.4,lower
заражения,8.5,lower
заранее,59.7,lower
заре,5.5,lower
зарегистрированных,5.8,lower
зарегистрировано,5.4,lower
заросли,6.1,lower
зарплата,13.9,lower
зарплате,5.0,lower
зарплату,23.7,lower
зарплаты,20.5,lower
зарубежной,5.4,lower
зарубежные,7.4,lower
зарубежных,22.1,lower
заряд,6.2,lower
заседание,21.6,lower
заседании,31.4,lower
заседаний,8.1,lower
заседания,24.5,lower
заседаниях,5.5,lower
заслуга,7.1,lower
заслуги,10.3,lower
заслуженный,7.0,lower
заслуживает,9.9,lower
заслужил,5.7,lower
засмеялась,18.3,lower
засмеялись,6.9,lower
засмеялся,29.7,lower
заснул,10.8,lower
заснуть,8.1,lower
заставил,17.0,lower
заставила,9.5,lower
заставили,11.6,lower
заставило,7.6,lower
заставит,5.7,lower
заставить,23.2,lower
заставляет,18.2,lower
заставлял,7.0,lower
заставляли,6.0,lower
заставляют,7.6,lower
застал,9.9,lower
застройки,6.1,lower
застыл,6.3,lower
затем,162.9,lower
Затем,78.8,upper
затих,5.3,lower
Зато,70.1,upper
зато,64.6,lower
затрат,23.1,lower
затраты,20.0,lower
затылке,7.2,lower
затылок,13.9,lower
захват,5.7,lower
захвата,8.1,lower
захватил,5.4,lower
захватили,5.7,lower
захватить,7.2,lower
захлопнул,5.2,lower
заходил,10.1,lower
заходили,5.0,lower
заходит,8.9,lower
заходить,5.3,lower
захотел,19.3,lower
захотела,6.6,lower
захотели,5.8,lower
захотелось,26.6,lower
захотят,5.5,lower
захохотал,6.1,lower
захочет,15.0,lower
захочется,6.1,lower
захочешь,5.0,lower
зачастую,25.5,lower
зачем,144.1,lower
Зачем,102.6,upper
зачем-то,13.5,lower
зашагал,6.2,lower
зашел,21.2,lower
зашла,9.9,lower
зашли,8.7,lower
защита,16.9,lower
защите,24.7,lower
